Key,Source,Context,Changes,Spanish,japanese,german
AcrobaticsRank3Desc,progression,Attribute,New,"+3m Distacia segura de caida",落下可能距離+3m,+3m sichere Falldistanz
AcrobaticsRank4Desc,progression,Attribute,New,"+4m Distacia segura de caida",落下可能距離+4m,+4m sichere Falldistanz
AcrobaticsRank5Desc,progression,Attribute,New,"+5m Distacia segura de caida",落下可能距離+5m,+5m sichere Falldistanz
AcrobaticsRank1LongDesc,progression,Attribute,New,"Aumenta la altura segura desde la que puedes caer en 1m.",安全な落下距離を1m延長します。,Erhöht die sichere Distanz beim Fallen um 1m.
AcrobaticsRank2LongDesc,progression,Attribute,New,"Aumenta la altura segura desde la que puedes caer en 2m.",安全な落下距離を2m延長します。,Erhöht die sichere Distanz beim Fallen um 2m.
AcrobaticsRank3LongDesc,progression,Attribute,New,"Aumenta la altura segura desde la que puedes caer en 3m.",安全な落下距離を3m延長します。,Erhöht die sichere Distanz beim Fallen um 3m.
AcrobaticsRank4LongDesc,progression,Attribute,New,"Aumenta la altura segura desde la que puedes caer en 4m.",安全な落下距離を4m延長します。,Erhöht die sichere Distanz beim Fallen um 4m.
AcrobaticsRank5LongDesc,progression,Attribute,New,"Aumenta la altura segura desde la que puedes caer en 5m.",安全な落下距離を5m延長します。,Erhöht die sichere Distanz beim Fallen um 5m.

HeatSynergyName,progression,skills,New,"Resistencia al Calor",熱気耐性,Hitzesynergie
HeatSynergyDesc,progression,skills,New,"Has vivido en el desierto por largo tiempo por lo que el calor tiene menos efecto en tí.",長い間砂漠ですごしたため、暑さに対して耐性を獲得した。,Du hast lange Zeit in der Wüste verbracht und wirst durch Hitze weniger beeinflusst.
HeatSynergyRank1Desc,progression,skills,New,"+5 Resistencia al calor",熱気耐性+5,Hitzeresistenz +5
HeatSynergyRank2Desc,progression,skills,New,"+9 Resistencia al calor",熱気耐性+9,Hitzeresistenz +9
HeatSynergyRank3Desc,progression,skills,New,"+12 Resistencia al calor",熱気耐性+12,Hitzeresistenz +12
HeatSynergyRank4Desc,progression,skills,New,"+14 Resistencia al calor",熱気耐性+14,Hitzeresistenz +14
HeatSynergyRank5Desc,progression,skills,New,"+15 Resistencia al calor",熱気耐性+15,Hitzeresistenz +15
HeatSynergyRank1LongDesc,progression,skills,New,"Aumenta tu resistencia al calor en 5",あなたの熱気耐性を5増加させます。,Erhöht deine Resistenz gegen Hitze um 5.
HeatSynergyRank2LongDesc,progression,skills,New,"Aumenta tu resistencia al calor en 9",あなたの熱気耐性を9増加させます。,Erhöht deine Resistenz gegen Hitze um 9.
HeatSynergyRank3LongDesc,progression,skills,New,"Aumenta tu resistencia al calor en 12",あなたの熱気耐性を12増加させます。,Erhöht deine Resistenz gegen Hitze um 12.
HeatSynergyRank4LongDesc,progression,skills,New,"Aumenta tu resistencia al calor en 14",あなたの熱気耐性を14増加させます。,Erhöht deine Resistenz gegen Hitze um 14.
HeatSynergyRank5LongDesc,progression,skills,New,"Aumenta tu resistencia al calor en 15",あなたの熱気耐性を15増加させます。,Erhöht deine Resistenz gegen Hitze um 15.

ColdSynergyName,progression,skills,New,"Resistencia al Frío",冷気耐性,Kältesynergie
ColdSynergyDesc,progression,skills,New,"Has vivido en las montañas congeladas por un largo tiempo por lo que el frío tiene menos efecto en tí.",長い間雪の降る山岳ですごしたため、寒さに対して耐性を獲得した。,Du hast lange Zeit in eisigen Gebirgen verbracht und wirst durch Kälte weniger beeinflusst.
ColdSynergyRank1Desc,progression,skills,New,"+5 Resistencia al frío",冷気耐性+5,Kälteresistenz +5
ColdSynergyRank2Desc,progression,skills,New,"+9 Resistencia al frío",冷気耐性+9,Kälteresistenz +9
ColdSynergyRank3Desc,progression,skills,New,"+12 Resistencia al frío",冷気耐性+12,Kälteresistenz +12
ColdSynergyRank4Desc,progression,skills,New,"+14 Resistencia al frío",冷気耐性+14,Kälteresistenz +14
ColdSynergyRank5Desc,progression,skills,New,"+15 Resistencia al frío",冷気耐性+15,Kälteresistenz +15
ColdSynergyRank1LongDesc,progression,skills,New,"Aumenta tu resistencia al frío en 5",あなたの冷気耐性を5増加させます。,Erhöht deine Resistenz gegen Kälte um 5.
ColdSynergyRank2LongDesc,progression,skills,New,"Aumenta tu resistencia al frío en 9",あなたの冷気耐性を9増加させます。,Erhöht deine Resistenz gegen Kälte um 9.
ColdSynergyRank3LongDesc,progression,skills,New,"Aumenta tu resistencia al frío en 12",あなたの冷気耐性を12増加させます。,Erhöht deine Resistenz gegen Kälte um 12.
ColdSynergyRank4LongDesc,progression,skills,New,"Aumenta tu resistencia al frío en 14",あなたの冷気耐性を14増加させます。,Erhöht deine Resistenz gegen Kälte um 14.
ColdSynergyRank5LongDesc,progression,skills,New,"Aumenta tu resistencia al frío en 15",あなたの冷気耐性を15増加させます。,Erhöht deine Resistenz gegen Kälte um 15.

HealingArtsName,progression,Attribute,New,"El arte de la Curación",治療技術,Heilkunst
HealingArtsDesc,progression,Attribute,New,"Has aprendido como tratar heridas apropiadamente y aumentado la efectividad en los intentos. (Bono añadido)",傷を適切に治療する方法を学び、回復効果を高めました。(加算になります),"Du hast gelernt, Wunden fachgerecht zu behandeln. Dadurch steigt effektivität deiner Heilungsversuche. (Additiver Bonus)"
HealingArtsRank1Desc,progression,Attribute,New,"+25% Curación Médica",回復量+25%,+25% Heilung durch Erste-Hilfe
HealingArtsRank2Desc,progression,Attribute,New,"+45% Curación Médica",回復量+45%,+45% Heilung durch Erste-Hilfe
HealingArtsRank3Desc,progression,Attribute,New,"+60% Curación Médica",回復量+60%,+60% Heilung durch Erste-Hilfe
HealingArtsRank4Desc,progression,Attribute,New,"+70% Curación Médica",回復量+70%,+70% Heilung durch Erste-Hilfe
HealingArtsRank5Desc,progression,Attribute,New,"+75% Curación Médica",回復量+75%,+75% Heilung durch Erste-Hilfe
HealingArtsRank1LongDesc,progression,Attribute,New,"Aumenta la eficacia de la curación con equipos médicos en 25%.",医療品使用時の回復量を25%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 25%.
HealingArtsRank2LongDesc,progression,Attribute,New,"Aumenta la eficacia de la curación con equipos médicos en 45%.",医療品使用時の回復量を45%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 45%.
HealingArtsRank3LongDesc,progression,Attribute,New,"Aumenta la eficacia de la curación con equipos médicos en 60%.",医療品使用時の回復量を60%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 60%.
HealingArtsRank4LongDesc,progression,Attribute,New,"Aumenta la eficacia de la curación con equipos médicos en 70%.",医療品使用時の回復量を70%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 70%.
HealingArtsRank5LongDesc,progression,Attribute,New,"Aumenta la eficacia de la curación con equipos médicos en 75%.",医療品使用時の回復量を75%上昇させます。,Erhöhe die Effektivität medizinischer Gegenstände um 75%.

ArmorSpecialistName,progression,skills,New,"Especialista en Armaduras",アーマースペシャリスト,Rüstungsspezialist
ArmorSpecialistDesc,progression,skills,New,"Tu armadura la sientes como una segunda piel por lo que ahora es más duradera. (Anexo a la habilidad correspondiente a la armadura, el último rango anulará completamente todo el daño a la armdura).",あなたはアーマー取り扱いに熟達したことで、低い損耗で防御できるようになりました。(対応するアーマーパークと共に、最終ランクを取得すると耐久が減らなくなります),"Deine Rüstung fühlt sich wie eine zweite Haut an und ist dadurch deutlich beständiger. (Zusammen mit dem zugehörigen Rüstungstalent, nimmt deine Rüstung auf Rang 5 keinen Schaden mehr.)"
ArmorSpecialistRank1Desc,progression,skills,New,"-12% Degradación de la Armadura",防具損耗率-12%,-12% Verschleiß von Rüstung
ArmorSpecialistRank2Desc,progression,skills,New,"-20% Degradación de la Armadura",防具損耗率-20%,-20% Verschleiß von Rüstung
ArmorSpecialistRank3Desc,progression,skills,New,"-26% Degradación de la Armadura",防具損耗率-26%,-26% Verschleiß von Rüstung
ArmorSpecialistRank4Desc,progression,skills,New,"-31% Degradación de la Armadura",防具損耗率-31%,-31% Verschleiß von Rüstung
ArmorSpecialistRank5Desc,progression,skills,New,"-34% Degradación de la Armadura",防具損耗率-34%,-34% Verschleiß von Rüstung
ArmorSpecialistRank1LongDesc,progression,skills,New,"Disminuye la degradación de la armadura un 12% adicional",防具の消耗率を12%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 12%.
ArmorSpecialistRank2LongDesc,progression,skills,New,"Disminuye la degradación de la armadura un 20% adicional",防具の消耗率を20%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 20%.
ArmorSpecialistRank3LongDesc,progression,skills,New,"Disminuye la degradación de la armadura un 26% adicional",防具の消耗率を26%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 26%.
ArmorSpecialistRank4LongDesc,progression,skills,New,"Disminuye la degradación de la armadura un 31% adicional",防具の消耗率を31%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 31%.
ArmorSpecialistRank5LongDesc,progression,skills,New,"Disminuye la degradación de la armadura un 34% adicional",防具の消耗率を34%減らします。,Verringere den Verschleiß deiner Rüstung um weitere 34%.

WeaponSpecialistName,progression,skills,New,"Especialista en Armas",ウェポンスペシャリスト,Waffenspezialist
WeaponSpecialistDesc,progression,skills,New,"Te has vuelto un experto manteniendo las armas. Como resultado han ganado más durabilidad.",あなたは武器の取り扱いに熟達したことで、低い損耗で攻撃できるようになりました。,"Du hast gelernt, deine Waffen anständig zu warten. Dadurch verschleißen sie nun deutlich langsamer."
WeaponSpecialistRank1Desc,progression,skills,New,"-20% Degradación del Arma",武器損耗率-20%,-20% Verschleiß von Waffen
WeaponSpecialistRank2Desc,progression,skills,New,"-31% Degradación del Arma",武器損耗率-31%,-31% Verschleiß von Waffen
WeaponSpecialistRank3Desc,progression,skills,New,"-39% Degradación del Arma",武器損耗率-39%,-39% Verschleiß von Waffen
WeaponSpecialistRank4Desc,progression,skills,New,"-45% Degradación del Arma",武器損耗率-45%,-45% Verschleiß von Waffen
WeaponSpecialistRank5Desc,progression,skills,New,"-50% Degradación del Arma",武器損耗率-50%,-50% Verschleiß von Waffen
WeaponSpecialistRank1LongDesc,progression,skills,New,"Disminuye la degradación del arma un 20% adicional",武器の消耗率を20%減らします。,Verringere den Verschleiß deiner Waffen um weitere 20%.
WeaponSpecialistRank2LongDesc,progression,skills,New,"Disminuye la degradación del arma un 31% adicional",武器の消耗率を31%減らします。,Verringere den Verschleiß deiner Waffen um weitere 31%.
WeaponSpecialistRank3LongDesc,progression,skills,New,"Disminuye la degradación del arma un 39% adicional",武器の消耗率を39%減らします。,Verringere den Verschleiß deiner Waffen um weitere 39%.
WeaponSpecialistRank4LongDesc,progression,skills,New,"Disminuye la degradación del arma un 45% adicional",武器の消耗率を45%減らします。,Verringere den Verschleiß deiner Waffen um weitere 45%.
WeaponSpecialistRank5LongDesc,progression,skills,New,"Disminuye la degradación del arma un 50% adicional",武器の消耗率を50%減らします。,Verringere den Verschleiß deiner Waffen um weitere 50%.

AttackSpeedName,progression,skills,New,"Velocidad de Ataque",攻撃速度,Schlaghagel
AttackSpeedDesc,progression,skills,New,"Todos esos golpes inflingidos han evolucionado en una rutina diaria. Ahora puedes atacar aún más rápido.",今までの打撃が日課になっている。今ではさらに速く攻撃できるようになった。,"All die ausgeteilten Hiebe sind für dich zu einer täglichen Routine geworden. Du kannst jetzt noch schneller angreifen."
AttackSpeedRank1Desc,progression,skills,New,"+10% Velocidad Cuerpo a cuerpo",攻撃速度+10%,+10% Nahkampftempo
AttackSpeedRank2Desc,progression,skills,New,"+16% Velocidad Cuerpo a cuerpo",攻撃速度+16%,+16% Nahkampftempo
AttackSpeedRank3Desc,progression,skills,New,"+20% Velocidad Cuerpo a cuerpo",攻撃速度+20%,+20% Nahkampftempo
AttackSpeedRank4Desc,progression,skills,New,"+23% Velocidad Cuerpo a cuerpo",攻撃速度+23%,+23% Nahkampftempo
AttackSpeedRank5Desc,progression,skills,New,"+25% Velocidad Cuerpo a cuerpo",攻撃速度+25%,+25% Nahkampftempo
AttackSpeedRank1LongDesc,progression,skills,New,"Aumenta tu velocidad de ataque cuerpo a cuerpo con armas y herramientas un 10%",あなたの攻撃速度を10%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 10%.
AttackSpeedRank2LongDesc,progression,skills,New,"Aumenta tu velocidad de ataque cuerpo a cuerpo con armas y herramientas un 16%",あなたの攻撃速度を16%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 16%.
AttackSpeedRank3LongDesc,progression,skills,New,"Aumenta tu velocidad de ataque cuerpo a cuerpo con armas y herramientas un 20%",あなたの攻撃速度を20%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 20%.
AttackSpeedRank4LongDesc,progression,skills,New,"Aumenta tu velocidad de ataque cuerpo a cuerpo con armas y herramientas un 23%",あなたの攻撃速度を23%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 23%.
AttackSpeedRank5LongDesc,progression,skills,New,"Aumenta tu velocidad de ataque cuerpo a cuerpo con armas y herramientas un 25%",あなたの攻撃速度を25%増加させます。,Erhöhe dein Angriffstempo mit allen Waffen und Werkzeugen im Nahkampf um 25%.

MeleeDamageName,progression,skills,New,"Daño cuerpo a cuerpo",近接ダメージ,Nahkampfschaden
MeleeDamageDesc,progression,skills,New,"Inflinge más daño cuerpo a cuerpo",より多くの近接ダメージを与える。,Verursache mehr Schaden im Nahkampf.
MeleeDamageRank1Desc,progression,skills,New,"+10% Daño cuerpo a cuerpo",近接攻撃力+10%,+10% Nahkampfschaden
MeleeDamageRank2Desc,progression,skills,New,"+16% Daño cuerpo a cuerpo",近接攻撃力+16%,+16% Nahkampfschaden
MeleeDamageRank3Desc,progression,skills,New,"+20% Daño cuerpo a cuerpo",近接攻撃力+20%,+20% Nahkampfschaden
MeleeDamageRank4Desc,progression,skills,New,"+23% Daño cuerpo a cuerpo",近接攻撃力+23%,+23% Nahkampfschaden
MeleeDamageRank5Desc,progression,skills,New,"+25% Daño cuerpo a cuerpo",近接攻撃力+25%,+25% Nahkampfschaden
MeleeDamageRank1LongDesc,progression,skills,New,"Aumenta el daño cuerpo a cuerpo en 10%",あなたの近接攻撃力を10%増加させます。,Erhöhe deinen Nahkampfschaden um 10%.
MeleeDamageRank2LongDesc,progression,skills,New,"Aumenta el daño cuerpo a cuerpo en 16%",あなたの近接攻撃力を16%増加させます。,Erhöhe deinen Nahkampfschaden um 16%.
MeleeDamageRank3LongDesc,progression,skills,New,"Aumenta el daño cuerpo a cuerpo en 20%",あなたの近接攻撃力を20%増加させます。,Erhöhe deinen Nahkampfschaden um 20%.
MeleeDamageRank4LongDesc,progression,skills,New,"Aumenta el daño cuerpo a cuerpo en 23%",あなたの近接攻撃力を23%増加させます。,Erhöhe deinen Nahkampfschaden um 23%.
MeleeDamageRank5LongDesc,progression,skills,New,"Aumenta el daño cuerpo a cuerpo en 25%",あなたの近接攻撃力を25%増加させます。,Erhöhe deinen Nahkampfschaden um 25%.

WeaponRangeName,progression,skills,New,"Distancia del arma",ウェポンレンジ,Waffenreichweite
WeaponRangeDesc,progression,skills,New,"Aumenta la efectividad del disparo a distancia de todas las armas.",すべての射撃武器の有効射程距離を拡張します。,Erhöhe die effektive Reichweite deiner Fernkampfwaffen.
WeaponRangeRank1Desc,progression,skills,New,"+10% Distancia",射程距離+10%,+10% Reichweite
WeaponRangeRank2Desc,progression,skills,New,"+16% Distancia",射程距離+16%,+16% Reichweite
WeaponRangeRank3Desc,progression,skills,New,"+20% Distancia",射程距離+20%,+20% Reichweite
WeaponRangeRank4Desc,progression,skills,New,"+23% Distancia",射程距離+23%,+23% Reichweite
WeaponRangeRank5Desc,progression,skills,New,"+25% Distancia",射程距離+25%,+25% Reichweite
WeaponRangeRank1LongDesc,progression,skills,New,"Dispara un 10% más lejos antes de que el daño de tus armas disminuya antes de impactar.",武器の射程距離を10%延長させます。,"Du kannst 10% weiter schießen, bevor sich der Schaden deiner Waffen verringert."
WeaponRangeRank2LongDesc,progression,skills,New,"Dispara un 16% más lejos antes de que el daño de tus armas disminuya antes de impactar.",武器の射程距離を16%延長させます。,"Du kannst 16% weiter schießen, bevor sich der Schaden deiner Waffen verringert."
WeaponRangeRank3LongDesc,progression,skills,New,"Dispara un 20% más lejos antes de que el daño de tus armas disminuya antes de impactar.",武器の射程距離を20%延長させます。,"Du kannst 20% weiter schießen, bevor sich der Schaden deiner Waffen verringert."
WeaponRangeRank4LongDesc,progression,skills,New,"Dispara un 23% más lejos antes de que el daño de tus armas disminuya antes de impactar.",武器の射程距離を23%延長させます。,"Du kannst 23% weiter schießen, bevor sich der Schaden deiner Waffen verringert."
WeaponRangeRank5LongDesc,progression,skills,New,"Dispara un 25% más lejos antes de que el daño de tus armas disminuya antes de impactar.",武器の射程距離を25%延長させます。,"Du kannst 25% weiter schießen, bevor sich der Schaden deiner Waffen verringert."

FireRateName,progression,skills,New,"Velocidad de Disparo",ファイアレート,Feuerrate
FireRateDesc,progression,skills,New,"Aumenta tu velocidad de disparo",すべての射撃武器の連射速度を上昇させます。,Erhöhe deine Feuerrate
FireRateRank1Desc,progression,skills,New,"+10% Velocidad de Disparo",連射速度+10%,+10% Feuerrate
FireRateRank2Desc,progression,skills,New,"+16% Velocidad de Disparo",連射速度+16%,+16% Feuerrate
FireRateRank3Desc,progression,skills,New,"+20% Velocidad de Disparo",連射速度+20%,+20% Feuerrate
FireRateRank4Desc,progression,skills,New,"+23% Velocidad de Disparo",連射速度+23%,+23% Feuerrate
FireRateRank5Desc,progression,skills,New,"+25% Velocidad de Disparo",連射速度+25%,+25% Feuerrate
FireRateRank1LongDesc,progression,skills,New,"Aumenta tu velocidad de disparo en 10%",武器の連射速度を10%上昇させます。, Erhöhe deine Feuerrate um 10%.
FireRateRank2LongDesc,progression,skills,New,"Aumenta tu velocidad de disparo en 16%",武器の連射速度を16%上昇させます。, Erhöhe deine Feuerrate um 16%.
FireRateRank3LongDesc,progression,skills,New,"Aumenta tu velocidad de disparo en 20%",武器の連射速度を20%上昇させます。, Erhöhe deine Feuerrate um 20%.
FireRateRank4LongDesc,progression,skills,New,"Aumenta tu velocidad de disparo en 23%",武器の連射速度を23%上昇させます。, Erhöhe deine Feuerrate um 23%.
FireRateRank5LongDesc,progression,skills,New,"Aumenta tu velocidad de disparo en 25%",武器の連射速度を25%上昇させます。, Erhöhe deine Feuerrate um 25%.

WeaponHandlingName,progression,skills,New,"Manejo del Arma",武器操作,Waffenkunde
WeaponHandlingDesc,progression,skills,New,"Aumenta tu habilidad con las armas.",すべての射撃武器の取り回しを上昇させます。,Verbessere deinen Umgang mit Waffen.
WeaponHandlingRank1Desc,progression,skills,New,"+10% Manejo del Arma",取り回し+10%,+10% Waffenkunde
WeaponHandlingRank2Desc,progression,skills,New,"+16% Manejo del Arma",取り回し+16%,+16% Waffenkunde
WeaponHandlingRank3Desc,progression,skills,New,"+20% Manejo del Arma",取り回し+20%,+20% Waffenkunde
WeaponHandlingRank4Desc,progression,skills,New,"+23% Manejo del Arma",取り回し+23%,+23% Waffenkunde
WeaponHandlingRank5Desc,progression,skills,New,"+25% Manejo del Arma",取り回し+25%,+25% Waffenkunde
WeaponHandlingRank1LongDesc,progression,skills,New,"Aumenta el manejo del arma en 10%",ADS時の精度収束速度を10%上昇させます。,Erhöhe deine Waffenkunde um 10%.
WeaponHandlingRank2LongDesc,progression,skills,New,"Aumenta el manejo del arma en 16%",ADS時の精度収束速度を16%上昇させます。,Erhöhe deine Waffenkunde um 16%.
WeaponHandlingRank3LongDesc,progression,skills,New,"Aumenta el manejo del arma en 20%",ADS時の精度収束速度を20%上昇させます。,Erhöhe deine Waffenkunde um 20%.
WeaponHandlingRank4LongDesc,progression,skills,New,"Aumenta el manejo del arma en 23%",ADS時の精度収束速度を23%上昇させます。,Erhöhe deine Waffenkunde um 23%.
WeaponHandlingRank5LongDesc,progression,skills,New,"Aumenta el manejo del arma en 25%",ADS時の精度収束速度を25%上昇させます。,Erhöhe deine Waffenkunde um 25%.

LargerMagazinesName,progression,skills,New,"Tamaño del Cargador",弾倉拡張,Größere Magazine
LargerMagazinesDesc,progression,skills,New,"Aumenta el tamaño del cargador para que dispares más proyectiles con cada recarga.",すべての射撃武器の装弾数を拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen.
LargerMagazinesRank1Desc,progression,skills,New,"+10% Cargadores más Amplios",弾倉サイズ+10%,10+% Größere Magazine
LargerMagazinesRank2Desc,progression,skills,New,"+16% Cargadores más Amplios",弾倉サイズ+16%,+16% Größere Magazine
LargerMagazinesRank3Desc,progression,skills,New,"+20% Cargadores más Amplios",弾倉サイズ+20%,+20% Größere Magazine
LargerMagazinesRank4Desc,progression,skills,New,"+23% Cargadores más Amplios",弾倉サイズ+23%,+23% Größere Magazine
LargerMagazinesRank5Desc,progression,skills,New,"+25% Cargadores más Amplios",弾倉サイズ+25%,+25% Größere Magazine
LargerMagazinesRank1LongDesc,progression,skills,New,"Aumenta el tamaño del cargador en 10%",射撃武器の装弾数を10%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 10%.
LargerMagazinesRank2LongDesc,progression,skills,New,"Aumenta el tamaño del cargador en 16%",射撃武器の装弾数を16%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 16%.
LargerMagazinesRank3LongDesc,progression,skills,New,"Aumenta el tamaño del cargador en 20%",射撃武器の装弾数を20%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 20%.
LargerMagazinesRank4LongDesc,progression,skills,New,"Aumenta el tamaño del cargador en 23%",射撃武器の装弾数を23%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 23%.
LargerMagazinesRank5LongDesc,progression,skills,New,"Aumenta el tamaño del cargador en 25%",射撃武器の装弾数を25%拡張させます。,Erhöhe die Magazingröße deiner Schusswaffen um 25%.

ReloadSpeedName,progression,skills,New,"Velocidad de recarga",リロードスピード,Nachladetempo
ReloadSpeedDesc,progression,skills,New,"Todas estás recargas te han hecho ganar uno dedos bastante ágiles. Recarga mucho más rápido ahora.",指先が器用になり、リロードがさらに速くなった。,"All das Nachladen hat dir ziemlich flinke Finger verschafft. Du kannst jetzt noch schneller nachladen."
ReloadSpeedRank1Desc,progression,skills,New,"+10% Velocidad de Recarga",リロード速度+10%,+10% Nachladetempo
ReloadSpeedRank2Desc,progression,skills,New,"+16% Velocidad de Recarga",リロード速度+16%,+16% Nachladetempo
ReloadSpeedRank3Desc,progression,skills,New,"+20% Velocidad de Recarga",リロード速度+20%,+20% Nachladetempo
ReloadSpeedRank4Desc,progression,skills,New,"+23% Velocidad de Recarga",リロード速度+23%,+23% Nachladetempo
ReloadSpeedRank5Desc,progression,skills,New,"+25% Velocidad de Recarga",リロード速度+25%,+25% Nachladetempo
ReloadSpeedRank1LongDesc,progression,skills,New,"Aumenta tu velocidad de recarga en 10%",射撃武器の再装填を10%高速化させます。,Erhöhe dein Tempo beim Nachladen um 10%.
ReloadSpeedRank2LongDesc,progression,skills,New,"Aumenta tu velocidad de recarga en 16%",射撃武器の再装填を16%高速化させます。,Erhöhe dein Tempo beim Nachladen um 16%.
ReloadSpeedRank3LongDesc,progression,skills,New,"Aumenta tu velocidad de recarga en 20%",射撃武器の再装填を20%高速化させます。,Erhöhe dein Tempo beim Nachladen um 20%.
ReloadSpeedRank4LongDesc,progression,skills,New,"Aumenta tu velocidad de recarga en 23%",射撃武器の再装填を23%高速化させます。,Erhöhe dein Tempo beim Nachladen um 23%.
ReloadSpeedRank5LongDesc,progression,skills,New,"Aumenta tu velocidad de recarga en 25%",射撃武器の再装填を25%高速化させます。,Erhöhe dein Tempo beim Nachladen um 25%.

RangedDamageName,progression,skills,New,"Daño a distancia",遠距離ダメージ,Fernkampfschaden
RangedDamageDesc,progression,skills,New,"Inflinge más daño a distancia.",遠距離武器のダメージを上昇させる。,Verursache mehr Fernkampfschaden.
RangedDamageRank1Desc,progression,skills,New,"+10% Daño a Distancia",射撃ダメージ+10%,+10% Fernkampfschaden
RangedDamageRank2Desc,progression,skills,New,"+16% Daño a Distancia",射撃ダメージ+16%,+16% Fernkampfschaden
RangedDamageRank3Desc,progression,skills,New,"+20% Daño a Distancia",射撃ダメージ+20%,+20% Fernkampfschaden
RangedDamageRank4Desc,progression,skills,New,"+23% Daño a Distancia",射撃ダメージ+23%,+23% Fernkampfschaden
RangedDamageRank5Desc,progression,skills,New,"+25% Daño a Distancia",射撃ダメージ+25%,+25% Fernkampfschaden
RangedDamageRank1LongDesc,progression,skills,New,"Aumenta el daño a distancia en 10%",遠距離武器のダメージを10%上昇させます。,Erhöhe deinen Fernkampfschaden um 10%.
RangedDamageRank2LongDesc,progression,skills,New,"Aumenta el daño a distancia en 16%",遠距離武器のダメージを16%上昇させます。,Erhöhe deinen Fernkampfschaden um 16%.
RangedDamageRank3LongDesc,progression,skills,New,"Aumenta el daño a distancia en 20%",遠距離武器のダメージを20%上昇させます。,Erhöhe deinen Fernkampfschaden um 20%.
